ID,CityCode,CityName,Country,StateID,AirportName,IsRail,Source,Region1,Region2,Region3,Region4,Region5,Latitude,Longitude,ValidFrom,ValidTo
6960,PEQ,PECOS,692,864,Pecos Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,31.38240051,-103.5110016,NULL,NULL
6961,PEV,Pecs,559,NULL,Pecs Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,45.990898,18.240996,NULL,NULL
6962,PDM,Pedasi,632,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,7.556879997,-80.02330017,NULL,NULL
6963,PDZ,Pedernales,697,NULL,Pedernales,0,NULL,NULL,NULL,NULL,NULL,NULL,9.979240417,-62.22859955,NULL,NULL
6964,PDB,Pedro Bay,692,819,NULL,0,NULL,888,890,897,908,915,59.78960037,-154.1239929,NULL,NULL
6965,PJC,Pedro Juan Caballero,645,NULL,Pedro Caballero,0,NULL,NULL,NULL,NULL,NULL,NULL,-22.63999939,-55.83000183,NULL,NULL
6966,PEF,Peenemuende,516,NULL,Peenemuende Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,54.15777969,13.77444363,NULL,NULL
6967,PEH,Pehuajo,468,NULL,Pehuajo,0,NULL,889,892,900,910,918,-35.8446,-61.8576,NULL,NULL
6968,ZPG,Peine,516,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6969,PKU,Pekanbaru,560,NULL,Simpang Tiga Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,0.460786015,101.4449997,NULL,NULL
6970,PEL,Pelaneng,591,NULL,NULL,0,NULL,889,891,902,912,916,-29.12059975,28.50530052,NULL,NULL
6971,PEC,Pelican,692,819,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,57.9552002,-136.2359924,NULL,NULL
6972,PLR,Pell City,692,820,Saint Clair County,0,NULL,NULL,NULL,NULL,NULL,NULL,33.55879974,-86.24909973,NULL,NULL
6973,PLN,Pellston,692,842,Regional Emmet County Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,45.57089996,-84.79669952,NULL,NULL
6974,YBB,Pelly Bay,496,778,Kugaaruk Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,68.534401,-89.808098,NULL,NULL
6975,PET,Pelotas,489,764,Pelotas International Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,-31.718399,-52.327702,NULL,NULL
6976,PMA,Pemba,688,NULL,Pemba Airport,0,NULL,NULL,NULL,NULL,NULL,NULL,-5.257259846,39.81140137,NULL,NULL
6977,POL,Pemba,618,NULL,Pemba Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,-12.99176216,40.52401352,NULL,NULL
6978,PMB,Pembina,692,848,Pembina Municipal Airport,0,NULL,NULL,NULL,NULL,NULL,NULL,48.94250107,-97.24079895,NULL,NULL
6979,YTA,Pembroke,496,779,Pembroke Airport,0,NULL,888,890,897,908,915,45.86439896,-77.25170135,NULL,NULL
6980,PEN,Penang,617,NULL,Penang Intl Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,5.297140121,100.2770004,NULL,NULL
6981,ZJR,Penang,617,NULL,Penang Port,1,NULL,889,893,901,911,919,5.4,100.2333333,NULL,NULL
6982,YPT,Pender Harbour,496,770,Pender Harbour SPB,0,NULL,NULL,NULL,NULL,NULL,NULL,49.623785,-124.024884,NULL,NULL
6983,PDT,Pendleton,692,857,Eastern Oregon Rgnl Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,45.69509888,-118.8410034,NULL,NULL
6984,PDO,Pendopo,560,NULL,Pendopo,0,NULL,889,894,901,911,919,-3.286070108,103.8799973,NULL,NULL
6985,PNJ,Penglai,506,NULL,Sha He Kou Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6986,N7O,Penn Ridge,692,858,Penn Ridge Airport,0,NULL,888,890,897,908,915,NULL,NULL,NULL,NULL
6987,PEA,Penneshaw,471,737,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,-35.75584629,137.9628754,NULL,NULL
6988,PEY,Penong,471,737,Penong Airport,0,NULL,NULL,NULL,NULL,NULL,NULL,-31.91670036,133,NULL,NULL
6989,PYE,Penrhyn Island,503,NULL,Penrhyn Island,0,NULL,NULL,NULL,NULL,NULL,NULL,-9.014369965,-158.0324097,NULL,NULL
6990,XPF,Penrith,536,NULL,Penrith Rail Station,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6991,PNS,Pensacola,692,829,Pensacola International Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,30.47340012,-87.18659973,NULL,NULL
6992,NDP,Pensacola,692,NULL,Ellyson Nas,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6993,YYF,Penticton,496,770,Penticton Municipal Arpt,0,NULL,888,890,897,908,915,49.46310043,-119.6019974,NULL,NULL
6994,PEZ,Penza,650,NULL,Penza Arpt,0,NULL,889,891,901,909,921,53.11059952,45.02109909,NULL,NULL
6995,PZE,Penzance,536,NULL,Penzance Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,50.128101,-5.51845,NULL,NULL
6996,PIA,Peoria,692,834,General Downing International Apt,0,NULL,NULL,NULL,NULL,NULL,NULL,40.66419983,-89.69329834,NULL,NULL
6997,PBY,Peppers Palm Bay,471,NULL,Hamilton/Proserpine,0,NULL,889,893,905,913,919,-35.5,148.7333333,NULL,NULL
6998,PEP,Peppimenarti,471,777,Peppimenarti Airport,0,NULL,889,893,905,913,919,-14.14420033,130.0910034,NULL,NULL
6999,PPH,Peraitepuy,697,NULL,Peraitepuy,0,NULL,NULL,NULL,NULL,NULL,NULL,4.56666708,-61.48333359,NULL,NULL
7000,XFG,Perce,496,781,Perce Rail Station,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7001,XGF,Percex,496,781,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7002,PEI,Pereira,507,NULL,Matecana International,0,NULL,NULL,NULL,NULL,NULL,NULL,4.81267,-75.7395,NULL,NULL
7003,PGX,Perigueux,534,NULL,Perigueux Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,45.19810104,0.81555599,NULL,NULL
7004,PMQ,Perito Moreno,468,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,-46.537899,-70.978699,NULL,NULL
7005,PEE,Perm,650,NULL,Perm Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,57.91450119,56.02119827,NULL,NULL
7006,PGF,Perpignan,534,NULL,Llabanere Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,42.74039841,2.87067008,NULL,NULL
7007,PRO,Perry,692,832,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,41.82799911,-94.15989685,NULL,NULL
