Code,CityName,CountryCode,StateCode,MetroCode,AssociatedAirports,AirportName,IsRail,Region1,Region2,Region3,Region4,Region5,Latitude,Longitude,
XRR,Ross River,CA,YT,,,Ross River Airport,N,,,,,,61.97060013,-132.4230042,
XQV,Baqubah,IQ,,,,Baqubah,N,,,,,,,,
XQC,Balad,IQ,,,,Balad,N,,,,,,33.94020081,44.36159897,
XPA,Pama,BF,,,,Pama,N,,,,,,11.25,0.699999988,
XOZ,Doha,QA,,,,Doha Free Zone,N,,,,,,,,
XMP,Macmillan Pass,CA,YT,,,Macmillan Pass Airport,N,,,,,,63.18109894,-130.2019959,
XMG,Mahendranagar,NP,,,,Mahendranagar,N,,,,,,28.96319962,80.14790344,
XMA,Maramag,PH,,,,Maramag,N,,,,,,7.7538,125.0333,
XLW,Lemwerder,DE,,,,Lemwerder,N,,,,,,53.144699,8.62444,
XLO,Long Xuyen,VN,,,,Long Xuyen,N,,,,,,10.330134,105.473144,
XLF,Leaf Bay,CA,,,,Leaf Bay,N,,,,,,,,
XJM,Mangla,PK,,,,Mangla,N,,,,,,33.05009842,73.63839722,
XJD,Al Udeid,QA,,,,Al Udeid,N,,,,,,25.11730003,51.31499863,
XIJ,Ahmed Al Jaber,KW,,,,Ahmed Al Jaber,N,,,,,,28.93479919,47.79190063,
XIH,Khan Al Baghdadi,IQ,,,,Khan Al Baghdadi,N,,,,,,,,
XIE,Xienglom,LA,,,,Xienglom,N,,,,,,19.6203,100.815332,
XGN,Xangongo,AO,,,,Xangongo,N,,,,,,-16.7553997,14.96529961,
XGL,Granville Lake,CA,,,,Granville Lake,N,,,,,,,,
XEZ,Sodertalje,SE,,,,Sodertalje S Railway,Y,,,,,,,,
XEQ,Tasiuasaq,GL,,,,Harbour,N,,,,,,,,
XEO,Oqatsut,GL,,,,Harbour,N,,,,,,,,
XEN,Xingcheng,CN,,,,Xingcheng,N,,,,,,40.58029938,120.697998,
XDT,Paris,FR,,,,C.De G. /Tgv Rail Svc,Y,,,,,,,,
XCA,Fictitious Point,ZZ,,,,Fictitious Point,N,,,,,,,,
XBL,Buno Bedelle,ET,,,,Buno Bedelle,N,,,,,,,,
XBJ,Birjand,IR,,,,Birjand,N,,,,,,32.89810181,59.26610184,
XBB,Blubber Bay,CA,BC,,,Blubber Bay Seaplane Base,N,,,,,,49.793958,-124.621064,
XAY,Xayabury,LA,,,,Xayabury,N,,,,,,,,
XAU,Saul,GF,,,,Saul,N,,,,,,3.61361,-53.204201,
WWG,Al Koude,OM,,,,Al Koude,N,,,,,,,,
WUM,Wasum,PG,,,,Wasum,N,,,,,,-6.0491,149.337,
WTO,Wotho Island,MH,,,,Wotho Island,N,,,,,,10.17329979,166.003006,
WTE,Wotje Island,MH,,,,Wotje Island,N,,,,,,9.458333,170.238611,
WSD,White Sands,US,NM,,,Condron Army Air Field,N,,,,,,32.34149933,-106.4029999,
WSA,Wasua,PG,,,,Wasua,N,,,,,,-8.2836,142.8697,
WPU,Puerto Williams,CL,,,,Puerto Williams,N,,,,,,-54.93109894,-67.626297,
WPL,Powell Lake,CA,BC,,,Powell Lake Seaplane Base,N,,,,,,49.88330078,-124.5329971,
WOO,Woodchopper,US,,,,Woodchopper,N,,,,,,,,
WOB,Suttonheath,GB,,,,Woodbridge Raf,N,,,,,,,,
WOA,Wonenara,PG,,,,Wonenara,N,,,,,,-6.796861111,145.8919444,
WNU,Wanuma,PG,,,,Wanuma,N,,,,,,-4.8961,145.3213,
WNE,Wora Na Ye,GA,,,,Wora Na Ye,N,,,,,,,,
WMV,Madirovalo,MG,,,,Madirovalo,N,,,,,,,,
WMP,Mampikony,MG,,,,Mampikony,N,,,,,,-16.07226934,47.64416456,
WLN,Little Naukati,US,,,,Little Naukati,N,,,,,,,,
WKI,Hwange,ZW,,,,Hwange,N,,,,,,-18.362967,26.519791,
WIO,Wilcannia,AU,,,,Wilcannia,N,,,,,,-31.52639961,143.375,
WGY,Wagny,GA,,,,Wagny,N,,,,,,-0.6035,12.2608,
WGU,Wagau,PG,,,,Wagau,N,,,,,,-6.8519,146.8022,
WGF,Manama,BH,,,,Off Line Point,N,,,,,,,,
WGB,Bahawalnagar,PK,,,,Bahawalnagar,N,,,,,,29.94630051,73.24909973,
WEX,Wexford,IE,,,,Castlebridge,N,,,,,,,,
WEP,Weam,PG,,,,Weam,N,,,,,,-8.6184,141.1381,
WEM,West Malling,GB,,,,West Malling,N,,,,,,51.27,0.4,
WDR,Winder,US,GA,,,Barrow County Airport,N,,,,,,33.98289871,-83.66739655,
WDN,East Sound,US,WA,,,Waldronaire Airport,N,,,,,,48.71179962,-123.0179977,
WDA,Wadi Ain,YE,,,,Wadi Ain,N,,,,,,14.86699963,45.54999924,
WBR,Big Rapids,US,MI,,,Roben Hood Airport,N,,,,,,43.72259903,-85.50409698,
WBI,Boulder,US,,,,Broker Inn,N,,,,,,,,
WAX,Zwara,US,,,,Zwara,N,,,,,,32.95230103,12.01550007,
WAJ,Wawoi Falls,PG,,,,Wawoi Falls,N,,,,,,-6.9523,142.6557,
WAF,Wana,PK,,,,Wana,N,,,,,,32.30469894,69.57039642,
VUU,Mvuu Camp,MW,,,,Mvuu Camp,N,,,,,,-14.83861111,35.30138889,
VRS,Versailles,US,MO,,,Roy Otten Memorial Airfield,N,,,,,,38.42779922,-92.87519836,
VRE,Vredendal,ZA,,,,Vredendal,N,,,,,,-31.64100075,18.5447998,
VOK,Camp Douglas,US,WI,,,Volk Field,N,,,,,,43.93899918,-90.25340271,
